"GEOID10","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
"53033030600",1,0.0015356199205706,9.0703143378725,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033030600",1,"point population",2023-08-03
"53033031100",1,0.00368662236783558,27.8252022944984,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031100",1,"point population",2023-08-03
"53033031202",1,0.813312172498196,5488.26367636973,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031202",1,"point population",2023-08-03
"53033031204",1,1,6233.8614105913,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031204",1,"point population",2023-08-03
"53033031301",1,1,2526.19155595527,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031301",1,"point population",2023-08-03
"53033031302",1,1,4822.6336314092,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031302",1,"point population",2023-08-03
"53033031400",1,1,5822.37417337681,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031400",1,"point population",2023-08-03
"53033031501",1,0.302621295142922,1229.81085941452,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031501",1,"point population",2023-08-03
"53033031502",1,0.999669243971273,5239.0203346975,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031502",1,"point population",2023-08-03
"53033031601",1,1,5255.52553531344,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031601",1,"point population",2023-08-03
"53033031603",1,0.627349470875976,5093.79305234125,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031603",1,"point population",2023-08-03
"53033031605",1,0.915796489668963,3329.3142793545,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031605",1,"point population",2023-08-03
"53033031704",1,0.0325788527131224,203.509295106032,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033031704",1,"point population",2023-08-03
"53033032006",1,0.535113717427452,2860.58429935191,48141.7776199106,48141.7776199106,"Enumclaw, Black Diamond, and Southeast King County","53033032006",1,"point population",2023-08-03
"53033030401",2,0.0415476851077676,418.04351568424,30564.1374968925,30567.5047808789,"Auburn - South","53033030401",2,"point population",2023-08-03
"53033030700",2,1,4339.46448019546,30564.1374968925,30567.5047808789,"Auburn - South","53033030700",2,"point population",2023-08-03
"53033030801",2,1,7447.22356696723,30564.1374968925,30567.5047808789,"Auburn - South","53033030801",2,"point population",2023-08-03
"53033030802",2,1,4538.68666184931,30564.1374968925,30567.5047808789,"Auburn - South","53033030802",2,"point population",2023-08-03
"53033031000",2,1,5041.15349021799,30564.1374968925,30567.5047808789,"Auburn - South","53033031000",2,"point population",2023-08-03
